#{"t_start": 1784614262.4144373, "env_id": "None"}
r,l,t
672.198651,300,8785.230306
623.837194,300,8785.811111
600.774611,300,8786.477684
833.159379,300,8787.016526
672.217648,300,8787.306973
623.529038,300,8787.598608
600.869649,300,8787.892391
833.161672,300,8788.233163
672.239161,300,8788.524804
623.874516,300,8789.171559
600.898179,300,8789.469558
833.122509,300,8789.757
672.240607,300,8790.038803
623.881252,300,8790.754778
600.898179,300,8791.353634
833.16021,300,8792.162454
672.241488,300,8796.934938
623.902876,300,8797.706665
600.866019,300,8798.053349
833.155143,300,8798.378106
672.173664,300,8799.195642
623.527934,300,8799.495601
600.883903,300,8800.095499
833.088442,300,8800.678215
672.240794,300,8801.237905
623.886943,300,8801.829879
600.868395,300,8802.297393
833.103485,300,8802.915893
672.240685,300,8803.483775
623.762653,300,8803.917036
600.893336,300,8804.817124
833.156873,300,8805.433688
672.240088,300,8806.004054
623.63344,300,8806.448684
600.828146,300,8807.268939
833.137687,300,8808.194216
672.241144,300,8808.714781
623.804232,300,8809.273782
600.810496,300,8809.80486
833.137687,300,8810.195503
672.213326,300,8810.853381
623.574852,300,8814.112063
600.897282,300,8814.452333
833.159379,300,8819.885634
672.198117,300,8820.609939
623.749577,300,8821.420475
600.835691,300,8822.055588
833.145146,300,8822.459124
672.233919,300,8822.740823
623.882781,300,8823.295925
600.674488,300,8823.697508
833.031919,300,8823.980626
672.239576,300,8824.451165
623.828848,300,8824.760138
600.787696,300,8825.181249
833.161298,300,8825.738458
672.212644,300,8826.386937
623.867895,300,8827.425796
600.722619,300,8827.969346
832.984786,300,8828.463262
672.23722,300,8828.800181
623.716907,300,8829.400953
600.872914,300,8829.928087
833.161588,300,8830.673094
672.222092,300,8831.140935
623.859658,300,8831.45083
600.819656,300,8832.047331
833.155143,300,8832.770612
672.227603,300,8833.375122
623.90196,300,8834.01273
600.896263,300,8836.577412
833.161588,300,8841.945825
672.191734,300,8842.593111
623.907631,300,8843.040527
600.875147,300,8843.320206
833.145146,300,8843.599982
672.236757,300,8843.876549
623.696851,300,8844.315504
600.866019,300,8844.818747
833.16089,300,8845.316919
672.237605,300,8846.667969
623.554286,300,8847.234479
600.742189,300,8847.907154
833.116671,300,8848.344281
672.238141,300,8849.201467
623.680007,300,8849.98628
600.86318,300,8850.391786
833.14823,300,8850.728199
672.234901,300,8851.055298
623.6618,300,8851.345122
600.884255,300,8851.625492
832.971784,300,8852.186831
672.239175,300,8852.757284
623.913804,300,8853.199276
600.819147,300,8853.960811
833.141811,300,8854.468457
672.233377,300,8855.032004
623.733051,300,8855.334752
600.898179,300,8860.947946
832.957905,300,8861.241028
672.22384,300,8861.762325
623.8286,300,8862.279987
600.89958,300,8862.8686
833.080133,300,8863.358528
672.235701,300,8864.035244
623.858243,300,8864.375209
600.863562,300,8864.887707
833.088442,300,8865.631041
672.239734,300,8866.185436
623.793348,300,8866.475356
600.676148,300,8866.792959
832.957905,300,8867.097465
672.235592,300,8867.742315
623.764739,300,8868.029275
600.675766,300,8868.469703
833.159379,300,8869.131647
672.234616,300,8869.715493
623.81601,300,8870.45832
600.899198,300,8871.043228
832.957905,300,8871.589532
672.239102,300,8871.914342
623.716907,300,8872.44221
600.84708,300,8872.886044
833.153207,300,8873.334311
672.240033,300,8873.753704
623.641433,300,8882.166066
600.8969,300,8882.529934
833.071507,300,8883.092455
672.215879,300,8883.590158
623.85934,300,8884.069961
600.758232,300,8884.409788
833.161298,300,8884.890543
672.218835,300,8885.186452
623.915254,300,8885.472812
600.675766,300,8885.763704
832.929027,300,8886.05782
672.238687,300,8886.350791
623.765305,300,8886.645525
600.758614,300,8886.939925
833.156873,300,8887.508608
672.215708,300,8887.841729
623.893903,300,8888.123903
600.874765,300,8888.417473
833.153207,300,8889.115535
672.21089,300,8889.743378
623.699115,300,8890.377119
600.895428,300,8891.211078
833.14823,300,8891.566244
672.238934,300,8892.023523
623.680856,300,8892.626286
600.860487,300,8893.250021
832.971784,300,8893.694199
672.234226,300,8894.087908
623.806522,300,8899.832579
600.775375,300,8900.627471
833.161672,300,8901.433602
672.230275,300,8901.833885
623.621122,300,8902.422542
600.868395,300,8903.133426
833.110231,300,8903.747694
672.226326,300,8904.030924
623.911016,300,8904.308852
600.886577,300,8904.586299
833.153207,300,8905.022518
672.22275,300,8905.371588
623.898417,300,8905.712277
600.800967,300,8906.425814
833.062246,300,8906.923121
672.165357,300,8907.469027
623.765305,300,8907.934877
600.854755,300,8908.394809
832.971784,300,8908.974401
672.227943,300,8912.286777
623.851108,300,8913.049031
600.897282,300,8913.454342
833.156873,300,8913.749212
672.201788,300,8914.041678
623.908798,300,8914.447497
600.81126,300,8914.738268
833.13301,300,8915.232625
672.2307,300,8920.108898
623.806239,300,8920.420953
600.81126,300,8921.131756
833.145146,300,8921.508764
672.230128,300,8922.079688
623.698832,300,8922.575667
600.800967,300,8922.857498
833.158216,300,8923.14837
672.201478,300,8923.625118
623.860259,300,8923.974228
600.865255,300,8924.414139
833.071507,300,8924.867188
672.238914,300,8925.60699
623.915254,300,8926.534056
600.895428,300,8927.031965
832.943742,300,8927.538806
672.210825,300,8928.050483
623.763821,300,8928.455055
600.886577,300,8929.024203
833.16021,300,8929.791933
672.238219,300,8930.184349
623.914971,300,8930.482378
600.868395,300,8930.774308
833.150834,300,8931.051637
672.220788,300,8931.326146
623.818344,300,8931.623036
600.858018,300,8932.048152
832.943742,300,8936.960562
672.190881,300,8937.258322
623.554286,300,8937.576184
600.872914,300,8937.92175
833.161672,300,8938.683845
672.237782,300,8939.00214
623.641716,300,8939.276615
600.895428,300,8939.599353
